cluster	term	term_clean	overlap	cluster_size	term_size	background_size	fold	p	hit_genes	BH_FDR
1	GOBP_RRNA_METABOLIC_PROCESS	Rrna Metabolic Process	32	50	47	170	2.3148936170212764	4.001658332399351e-11	AATF;BUD23;DDX21;DDX47;DDX52;DDX56;DIMT1;DKC1;EMG1;EXOSC4;FBL;FCF1;KRR1;MRM1;NAT10;NOL11;NOP10;NOP2;NOP58;POLR1B;POLR1C;POLR1E;RIOK1;RPS19;RPS6;RRP9;TCOF1;TRMT112;TSR2;UTP23;WDR3;WDR36	1.5446401163061492e-08
1	GOBP_RIBOSOME_BIOGENESIS	Ribosome Biogenesis	32	50	48	170	2.2666666666666666	1.0312905324791943e-10	AATF;BUD23;DDX21;DDX47;DDX52;DDX56;DIMT1;DKC1;EMG1;EXOSC4;FBL;FCF1;GNL2;KRR1;MRM1;NAT10;NLE1;NOL11;NOP10;NOP2;NOP58;RIOK1;RPL24;RPS19;RPS6;RRP9;TCOF1;TRMT112;TSR2;UTP23;WDR3;WDR36	1.990390727684845e-08
1	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Ribonucleoprotein Complex Biogenesis	33	50	53	170	2.116981132075472	7.517771498771474e-10	AATF;BUD23;DDX21;DDX47;DDX52;DDX56;DIMT1;DKC1;EMG1;EXOSC4;FBL;FCF1;GNL2;KRR1;MRM1;NAT10;NCBP1;NLE1;NOL11;NOP10;NOP2;NOP58;RIOK1;RPL24;RPS19;RPS6;RRP9;TCOF1;TRMT112;TSR2;UTP23;WDR3;WDR36	5.803719597051578e-08
1	GOBP_MATURATION_OF_SSU_RRNA	Maturation Of Ssu Rrna	17	50	19	170	3.042105263157895	1.0484883985401429e-08	AATF;DDX52;EMG1;FBL;FCF1;KRR1;NAT10;NOL11;NOP58;RIOK1;RPS19;RRP9;TRMT112;TSR2;UTP23;WDR3;WDR36	5.679770146237415e-07
1	GOBP_RRNA_PROCESSING	Rrna Processing	28	50	43	170	2.213953488372093	1.1771544344533501e-08	AATF;BUD23;DDX21;DDX47;DDX52;DDX56;DIMT1;DKC1;EMG1;EXOSC4;FBL;FCF1;KRR1;MRM1;NAT10;NOL11;NOP10;NOP2;NOP58;RIOK1;RPS19;RPS6;RRP9;TRMT112;TSR2;UTP23;WDR3;WDR36	5.679770146237415e-07
2	GOBP_TRANSMEMBRANE_TRANSPORT	Transmembrane Transport	7	31	9	170	4.265232974910394	9.996053668704458e-05	ATP11B;DNAJC19;GFER;HSPA9;PMPCB;SLC25A10;TIMM23B	0.0021435981756221783
2	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	Establishment Of Protein Localization To Mitochondrion	5	31	5	170	5.483870967741936	0.00015238186165045307	DNAJC19;GFER;OXA1L;PMPCB;TIMM23B	0.0025573651563945603
2	GOBP_PROTEIN_MATURATION	Protein Maturation	5	31	5	170	5.483870967741936	0.00015238186165045307	DNAJA3;DNAJC19;GFER;HSPA9;PMPCB	0.0025573651563945603
2	GOBP_RESPONSE_TO_HEAT	Response To Heat	5	31	5	170	5.483870967741936	0.00015238186165045307	DNAJA3;EIF2B1;EIF2B3;EIF2B4;EIF2B5	0.0025573651563945603
2	GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS	Response To Temperature Stimulus	5	31	5	170	5.483870967741936	0.00015238186165045307	DNAJA3;EIF2B1;EIF2B3;EIF2B4;EIF2B5	0.0025573651563945603
3	GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	Spliceosomal Snrnp Assembly	5	12	6	170	11.805555555555555	4.111084354783838e-06	DDX20;GEMIN4;GEMIN5;LSM6;SMN2	0.00012206758161127393
3	GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	Rna Splicing Via Transesterification Reactions	6	12	18	170	4.722222222222222	0.00037778043174538324	DDX20;GEMIN4;GEMIN5;LSM6;METTL16;SMN2	0.005608586409758382
3	GOBP_RNA_SPLICING	Rna Splicing	7	12	27	170	3.67283950617284	0.0005525413849332553	DDX20;GEMIN4;GEMIN5;LSM6;METTL16;SMN2;WBP11	0.007354516364973675
3	GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION	Protein Rna Complex Organization	5	12	16	170	4.427083333333333	0.0020706065777924597	DDX20;GEMIN4;GEMIN5;LSM6;SMN2	0.021460601847755438
3	GOBP_MRNA_PROCESSING	Mrna Processing	7	12	36	170	2.7546296296296298	0.003932284560832312	DDX20;GEMIN4;GEMIN5;LSM6;METTL16;SMN2;WBP11	0.03145748576821339
4	GOBP_MITOCHONDRIAL_TRANSLATION	Mitochondrial Translation	10	11	23	170	6.719367588932806	2.747615639104752e-09	AARS2;GFM1;MRPL14;MRPL19;MRPL3;MRPL35;MRPL36;MRPL38;RPUSD4;TARS2	1.7676327278240572e-07
4	GOBP_MITOCHONDRIAL_GENE_EXPRESSION	Mitochondrial Gene Expression	10	11	28	170	5.51948051948052	3.054999561198751e-08	AARS2;GFM1;MRPL14;MRPL19;MRPL3;MRPL35;MRPL36;MRPL38;RPUSD4;TARS2	1.179229830622718e-06
4	GOBP_TRANSLATION	Translation	10	11	54	170	2.861952861952862	4.654219577999006e-05	AARS2;GFM1;MRPL14;MRPL19;MRPL3;MRPL35;MRPL36;MRPL38;RPUSD4;TARS2	0.0011228304731922603
4	GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	Mitochondrial Rna Metabolic Process	4	11	12	170	5.151515151515151	0.0036832389802249144	AARS2;PTCD1;RPUSD4;TARS2	0.03145748576821339
4	GOBP_AMINO_ACID_METABOLIC_PROCESS	Amino Acid Metabolic Process	2	11	5	170	6.181818181818182	0.03433099999640908	AARS2;TARS2	0.1284511867134887
5	GOBP_MRNA_PROCESSING	Mrna Processing	7	8	36	170	4.131944444444445	7.848719064530604e-05	CBLL1;METTL14;METTL3;RBM15;VIRMA;WTAP;ZC3H13	0.0017821209170051841
5	GOBP_RNA_SPLICING	Rna Splicing	6	8	27	170	4.722222222222222	0.00021414971338476328	METTL14;METTL3;RBM15;VIRMA;WTAP;ZC3H13	0.0034442412236049425
5	GOBP_MRNA_METABOLIC_PROCESS	Mrna Metabolic Process	7	8	45	170	3.3055555555555554	0.0004022572509231215	CBLL1;METTL14;METTL3;RBM15;VIRMA;WTAP;ZC3H13	0.005750788846530552
5	GOBP_HEAD_DEVELOPMENT	Head Development	3	8	6	170	10.625	0.0013002809321527712	METTL14;METTL3;PSMG1	0.014762012935616756
5	GOBP_REGULATION_OF_CELL_DEVELOPMENT	Regulation Of Cell Development	3	8	6	170	10.625	0.0013002809321527712	METTL14;METTL3;RBM15	0.014762012935616756
6	GOBP_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	Enzyme Directed Rrna Pseudouridine Synthesis	2	7	5	170	9.714285714285715	0.01376425121651237	RPUSD1;TSR3	0.07179731039964561
6	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	Nuclear Transcribed Mrna Catabolic Process Deadenylation Dependent Decay	2	7	5	170	9.714285714285715	0.01376425121651237	DCP2;YBX1	0.07179731039964561
6	GOBP_RRNA_PSEUDOURIDINE_SYNTHESIS	Rrna Pseudouridine Synthesis	2	7	6	170	8.095238095238095	0.020234401395972924	RPUSD1;TSR3	0.09298189212911367
6	GOBP_PSEUDOURIDINE_SYNTHESIS	Pseudouridine Synthesis	2	7	7	170	6.938775510204082	0.02776186879988191	RPUSD1;TSR3	0.1082432460278224
6	GOBP_RNA_MODIFICATION	Rna Modification	5	7	56	170	2.168367346938776	0.03972261656223046	NSUN5;RPUSD1;TRMU;TSR3;WDR4	0.1321804309743186
7	GOBP_TRNA_WOBBLE_URIDINE_MODIFICATION	Trna Wobble Uridine Modification	7	7	10	170	17.0	1.6703770842854666e-10	ALKBH8;CTU1;CTU2;ELP3;ELP4;ELP5;URM1	2.1492185151139673e-08
7	GOBP_TRNA_WOBBLE_BASE_MODIFICATION	Trna Wobble Base Modification	7	7	11	170	15.454545454545455	4.5935369817850327e-10	ALKBH8;CTU1;CTU2;ELP3;ELP4;ELP5;URM1	4.432763187422557e-08
7	GOBP_TRNA_MODIFICATION	Trna Modification	7	7	27	170	6.296296296296296	1.2361208017983526e-06	ALKBH8;CTU1;CTU2;ELP3;ELP4;ELP5;URM1	3.976188579118034e-05
7	GOBP_TRNA_PROCESSING	Trna Processing	7	7	34	170	5.0	7.488322740546204e-06	ALKBH8;CTU1;CTU2;ELP3;ELP4;ELP5;URM1	0.0002064637555607739
7	GOBP_TRNA_METABOLIC_PROCESS	Trna Metabolic Process	7	7	38	170	4.473684210526316	1.7567155350180138e-05	ALKBH8;CTU1;CTU2;ELP3;ELP4;ELP5;URM1	0.00045206146434463557
9	GOBP_VESICLE_MEDIATED_TRANSPORT	Vesicle Mediated Transport	4	4	7	170	24.285714285714285	1.0421204232676313e-06	BNIP1;CAMLG;NBAS;RINT1	3.656895303466415e-05
9	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	Establishment Of Protein Localization	3	4	11	170	11.59090909090909	0.0007909694012601319	CAMLG;NBAS;RINT1	0.009889478552000858
